id,text,length,races,difficulty_rating,top_score,top_100,average,active_since,top_score_user
20,How many roads must a man walk down before you call him a ma...,302,116063,1.014,215.36,181.7,80.19,2008-08-03,arenasnow2
21,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",192,102170,0.912,194.12,169.01,70.09,2008-08-03,quitless
22,"The problem is, Willie, is that Charles and yourself are not...",149,138265,1.053,224.2,190.44,81.71,2008-08-08,joshua728
23,You could choke a dozen donkeys on that! And you're haggling...,206,93398,0.871,197.78,171.33,67.09,2008-08-08,quitless
24,"Let's sort the buyers from the spiers, the needy from the gr...",234,117681,0.997,226.69,191.01,78.98,2008-08-03,arenasnow2
25,"Let's sort the buyers from the spiers, the needy from the gr...",355,87519,0.938,210.87,176.44,77.41,2008-08-08,joshua728
26,What should have been swift revenge turned into an all out w...,311,111158,1.003,260.96,184.19,78.85,2008-08-05,
27,So I'm two inches away from her. Her luscious lips part. Jus...,174,97369,0.867,206.71,169.97,65.97,2008-08-08,itstoeasy
28,"We turn away to face the cold, enduring chill, as the day be...",255,28359,0.983,237.15,153.21,51.45,2008-08-08,joshua728
29,"And in the world a heart of darkness, a firezone, where poet...",269,126578,1.032,212.76,185.86,81.53,2008-08-08,arenasnow2
30,"We turn away to face the cold, enduring chill, as the day be...",255,102447,1.055,208.04,179.56,90.81,2008-08-08,joshua728
31,I don't believe in painted roses or bleeding hearts while bu...,197,140436,1.058,212.28,186.54,82.54,2008-08-08,joshua728
32,"And you know it's time to go, through the sleet and driving ...",231,141439,1.061,218.58,193.83,84.8,2008-07-28,arenasnow2
33,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",172,126826,1.033,211.24,184.94,79.86,2008-08-08,typos_z
34,"What about Tony? You know, Bullet Tooth Tony. He'll find you...",211,106908,0.955,236.75,177.36,73.87,2008-08-03,joshua728
35,"My name is Turkish. Funny name for an Englishman, I know. My...",225,121584,1.025,292.75,184.27,79.09,2008-08-08,
36,"My name is Turkish. Funny name for an Englishman, I know. My...",355,81062,0.992,213.22,176.36,84.73,2008-08-03,quitless
37,"That's Tommy. He tells people he was named after a gun, but ...",129,130426,0.988,228.39,187.54,77.04,2008-08-09,deroche1
38,"Do you know why they call him Franky ""Four Fingers"" Doug? Be...",214,1730,0.875,237.45,149.75,75.07,2008-08-05,joshua728
39,"It turned out that the sweet-talking, tattoo-sporting pikey ...",285,83069,0.88,196.3,167.33,68.06,2008-08-08,arenasnow2
40,I don't want to go in there. He's a dangerous bastard. Taken...,174,2053,0.933,210.55,155.47,79.12,2008-08-03,arenasnow
41,One thing I've learned in the last seven years: in every gam...,201,142046,1.065,239.59,194.64,84.56,2008-07-29,joshua728
42,There is something about yourself that you don't know. Somet...,297,134673,1.078,215.27,189.57,86.47,2008-08-03,arenasnow2
43,"Oh bliss! Bliss and heaven! Oh, it was gorgeousness and gorg...",242,87554,0.868,198.7,164.69,66.6,2008-08-08,
44,"You needn't take it any further, sir. You've proved to me th...",240,105836,0.927,263.23,173.31,72.74,2008-07-29,
45,"Excellent. He's enterprising, aggressive, outgoing, young, b...",199,104022,0.901,312.81,171.65,69.84,2008-08-03,flatrix
46,"Padre, these are subtleties! We are not concerned with motiv...",419,64414,0.945,199.66,171.46,80.67,2008-08-08,arenasnow2
47,"But suddenly, I viddied that thinking was for the gloopy one...",259,119954,1.007,201.84,178.9,78.07,2008-08-03,arenasnow
48,"There was me, that is Alex, and my three droogs, that is Pet...",190,115354,0.948,195.32,171.54,72.99,2008-07-28,arenasnow2
49,"The boy has not a real choice, has he? Self-interest, the fe...",254,103414,0.93,199.5,170.75,71.66,2008-08-03,joshua728
50,I don't know why he saved my life. Maybe in those last momen...,271,128959,1.027,220.77,188.95,81.97,2008-08-03,joshua728
51,I've seen things you people wouldn't believe. Attack ships o...,217,122468,1.006,212.97,181.85,77.79,2008-08-03,deroche1
52,We began to recognize in them a strange obsession. After all...,317,108976,0.995,217.96,180.25,76.84,2008-08-06,joshua728
53,I will need my spectacles and a clear head. Today I broke my...,166,136804,1.033,216.5,190.57,80.72,2008-08-08,arc_sec
54,"Yeah, you just take Soupy-Sales to prom 'cause I can think o...",310,90681,0.944,214.81,173.12,72.94,2008-08-03,joshua728
55,I know that you weren't bored that day because there was a l...,276,98848,0.957,219.22,177.96,74.89,2008-08-05,joshua728
56,"I'm a hopeless dancer, but this looks like you just screw in...",193,27406,0.904,201.94,150.29,47.16,2008-08-08,arenasnow
57,The Peacocks are not dancing so it will not rain. The Peacoc...,128,2008,0.889,211.45,152.99,42.21,2008-08-08,arenasnow
58,"My darling, you have to be standing up in order to be able t...",233,116394,0.999,219.55,179.74,77.05,2008-08-03,joshua728
59,"Throughout my academic career, I'd given some pretty good ta...",193,113304,0.975,206.77,174.91,74.57,2008-08-03,arenasnow2
60,"No matter how bad things are, you can always make things wor...",184,142445,1.059,220.01,193.39,83.57,2008-08-03,joshua728
61,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",211,119160,1.001,217.54,185.69,78.35,2008-08-03,arenasnow2
62,"Whenever you watch the mind, you withdraw consciousness from...",293,108093,0.993,206.12,179.95,77.35,2008-08-03,arenasnow2
63,"Whenever you watch the mind, you withdraw consciousness from...",133,16573,0.92,213.77,177.9,50.08,2008-07-28,deroche1
64,Step out the front door like a ghost into the fog where no o...,303,128758,1.066,218.38,191.72,85.51,2008-08-03,arenasnow2
65,Overhead the albatross hangs motionless upon the air and dee...,218,117566,0.998,218.8,176.41,76.39,2008-08-06,joshua728
66,"Hello, hello, hello, is there anybody in there? Just nod if ...",308,106260,0.989,425.12,181.76,77.75,2008-08-08,flatrix
67,"There is no pain, you are receding. A distant ship smoke on ...",336,117655,1.012,208.5,182.94,80.59,2008-08-08,arenasnow2
68,"There is no pain, you are receding. A distant ship smoke on ...",162,6239,0.835,230.0,174.1,58.15,2008-08-08,arenasnow
69,"Run to the bedroom, in the suitcase on the left, you'll find...",434,85932,0.942,203.11,168.41,72.49,2008-08-03,performancecheck
70,We don't need no education. We don't need no thought control...,176,15268,0.892,203.39,167.09,46.52,2008-08-08,joshua728
71,We don't need no education. We don't need no thought control...,289,96276,0.984,215.02,181.4,79.87,2008-08-03,chakk
72,"Ticking away the moments that make up a dull day, you fritte...",210,145097,1.093,228.47,200.84,86.48,2008-08-03,quitless
73,"Ticking away the moments that make up a dull day, you fritte...",456,94250,1.069,220.25,195.73,93.38,2008-08-08,joshua728
74,"Trudging slowly over wet sand, back to the bench where your ...",173,120049,0.984,210.63,176.48,74.88,2008-07-28,arenasnow2
75,"A little boy went out to play. When he opened his door, he s...",168,130482,1.008,210.04,184.78,79.03,2008-08-08,joshua728
76,There's sometimes a buggy. How many drivers does a buggy hav...,261,127680,1.037,219.82,186.5,82.72,2008-08-03,slekap
77,Now did you answer 'cause you thought that's what I wanted t...,156,16870,0.944,233.01,188.32,52.66,2008-08-09,florentine
78,Now I want you to think and stop being a smart aleck. A man'...,226,139650,1.081,257.55,201.36,86.69,2008-08-03,joshua728
79,"My dog barks some. Mentally you picture my dog, but I have n...",205,97279,0.902,209.7,171.33,69.87,2008-08-03,joshua728
80,"It's a sunny, woodsy day in Lumberton, so get those chainsaw...",235,90261,0.914,199.69,168.26,69.83,2008-08-03,arenasnow2
81,"I had a dream. There was our world, and the world was dark b...",354,115584,1.071,270.49,187.71,88.0,2008-08-03,
82,"Now you might ask yourself, if by yourself you mean me, ""Ste...",305,91266,0.925,203.47,170.24,71.74,2008-08-04,chakk
83,I'm telling it like it is. Get used to it or put this book d...,387,92676,0.985,205.33,178.17,80.25,2008-08-03,chakkonmech
84,"And today, Lady Liberty is under attack from the cable chann...",308,89521,0.921,188.48,163.75,70.71,2008-08-01,arenasnow2
85,"In May 1980, Fidel Castro opened the harbor at Mariel, Cuba ...",366,68683,0.901,207.73,165.4,72.62,2008-08-05,joshua728
86,"In the casino, the cardinal rule is to keep them playing and...",220,148557,1.115,264.34,196.36,88.17,2008-08-03,
87,What? A swallow carrying a coconut? It's not a question of w...,296,86997,0.89,206.85,166.77,68.17,2008-08-03,arenasnow2
88,"Listen, strange women lyin' in ponds distributin' swords is ...",201,96238,0.894,199.74,171.29,68.24,2008-08-03,arenasnow
89,"Everyone said I was daft to build a castle on a swamp, but I...",364,79544,0.98,203.88,180.18,85.07,2008-08-08,arenasnow2
90,"Everyone said I was daft to build a castle on a swamp, but I...",282,25950,0.889,193.64,149.77,46.92,2008-08-08,arenasnow
91,"King, eh? Very nice. And how'd you get that, eh? By exploiti...",189,99908,0.906,201.89,170.72,69.43,2008-08-08,chakk
92,Make sure to secure the door when I am gone. There are many ...,148,16603,0.93,248.39,172.25,49.38,2008-08-08,joshua728
93,"An essential characteristic of the superhero mythology is, t...",401,76257,0.919,203.1,168.14,73.94,2008-08-08,joshua728
94,"Well, it just so happens, this hacienda comes with its very ...",226,124946,1.031,214.25,184.49,80.16,2008-07-28,arenasnow
95,My entire life had been on a predictable trajectory dominate...,322,92952,0.903,193.13,166.6,69.57,2008-08-08,arenasnow
96,"Look, you should admit to yourself that Microsoft will miss ...",256,106287,0.97,271.33,180.61,74.73,2008-08-03,
97,Space is big. Really big. You just won't believe how vastly ...,193,123979,0.991,254.62,192.79,78.37,2008-08-08,
98,Is it really necessary to send that email? The more emails y...,290,112282,1.022,220.56,186.7,79.84,2008-08-05,
99,"As if that blind rage had washed me clean, rid me of hope; f...",177,16476,0.933,249.82,178.85,50.16,2008-08-08,hurst
100,"As if that blind rage had washed me clean, rid me of hope; f...",266,123171,1.071,271.59,191.18,88.56,2008-07-29,
101,Images of broken light which dance before me like a million ...,234,129263,1.045,252.47,186.64,81.09,2008-08-03,
102,The place to improve the world is first in one's own heart a...,288,135195,1.093,248.24,197.99,87.62,2008-08-03,chakk
103,If you're working out in front of a mirror and watching your...,289,125478,1.058,227.19,196.53,84.85,2008-08-03,zigfried
104,The chemistry of an element is determined by the manner in w...,211,121447,1.014,236.66,184.22,76.75,2008-08-08,joshua728
105,The treatment of atoms with more than one electron requires ...,394,87061,0.972,208.16,175.47,77.76,2008-08-08,arenasnow2
106,I thought climbing the Devil's Thumb would fix all that was ...,232,120401,1.016,203.64,180.28,79.24,2008-07-28,arenasnow2
107,"And I said, I don't care if they lay me off either, because ...",150,16386,0.9,243.57,185.23,50.38,2008-08-08,arenasnow
108,"And I said, I don't care if they lay me off either, because ...",392,103022,1.026,421.92,189.1,84.52,2008-07-27,flatrix
109,"Do you smell that? Napalm, son. Nothing else in the world sm...",229,110250,0.986,217.96,179.87,77.52,2008-08-08,joshua728
110,The inner surface of the cell wall touches the cytoplasmic m...,237,99224,0.918,200.72,166.69,69.85,2008-08-03,chakk
111,"If you are given too many choices, if you are forced to cons...",293,112158,0.996,211.67,184.35,78.98,2008-08-03,slekap
112,"""This man right here,"" McGuinness said, pointing at Kenna, ""...",186,4540,0.73,181.04,149.14,44.72,2008-08-08,arenasnow
113,"""This man right here,"" McGuinness said, pointing at Kenna, ""...",283,20198,0.84,193.94,137.12,45.79,2008-08-08,arenasnow
114,"""This man right here,"" McGuinness said, pointing at Kenna, ""...",393,55331,0.913,207.2,164.46,77.84,2008-08-08,joshua728
115,A giant inverted steel pyramid is perfectly balanced on its ...,323,106759,0.999,207.26,178.43,77.44,2008-08-08,arenasnow
116,San Francisco in the middle sixties was a very special time ...,243,134803,1.092,235.41,196.49,86.65,2008-08-08,joshua728
117,"Has it been five years? Six? It seems like a lifetime, the k...",358,88354,1.046,217.94,187.87,90.75,2008-08-03,arenasnow2
118,The pathology of setting a deadline to the earliest articula...,335,89659,0.987,209.09,177.09,79.04,2008-08-03,arenasnow
119,The unknown future rolls toward us. I face it for the first ...,176,137171,1.038,226.93,189.16,81.69,2008-08-10,arenasnow2
120,"The terminator wouldn't stop, it would never leave him. It w...",317,9215,0.931,231.68,158.87,46.27,2008-08-11,joshua728
121,"The terminator wouldn't stop, it would never leave him. It w...",363,114064,1.065,218.56,192.13,88.33,2008-08-03,arabianghosthaunting
122,If there is one thing the history of evolution has taught us...,207,130571,1.021,233.0,187.65,80.12,2008-08-08,joshua728
123,Maybe what I think Tasty Wheat tasted like actually tasted l...,271,25911,0.912,208.22,148.73,48.03,2008-08-08,arenasnow
124,You have to wonder: how do the machines know what Tasty Whea...,371,73103,0.976,207.48,178.4,83.79,2008-08-03,performancecheck
125,You're here because you know something. What you know you ca...,304,26925,0.972,254.2,176.22,51.35,2008-08-08,joshua728
126,Let me tell you why you're here. You're here because you kno...,373,126220,1.054,239.6,199.71,86.68,2008-08-03,joshua728
127,It was one of those days when it's a minute away from snowin...,340,120403,1.048,229.45,185.64,83.01,2008-08-08,joshua728
128,"The Orient was almost a European invention, and had been sin...",237,105310,0.961,204.05,180.52,74.14,2008-08-08,arenasnow
129,"They had been given a sign - a powerful, lucid sign - that u...",404,80864,0.916,212.31,172.99,71.38,2008-08-06,joshua728
130,"Time is tricky. You have whole months, even years, when noth...",351,124408,1.063,225.52,188.6,85.09,2008-07-27,chakk
131,"Common knowledge has bicyclists always riding into the wind,...",388,97477,0.977,211.45,176.08,75.87,2008-08-08,joshua728
132,We sit silently and watch the world around us. This has take...,287,11652,0.939,227.06,157.35,44.09,2008-08-08,joshua728
133,We sit silently and watch the world around us. This has take...,437,103204,1.037,227.48,188.84,84.96,2008-08-03,slekap
134,"The time I waited seemed endless, and I felt doubts and fear...",204,128643,1.024,212.67,185.4,79.89,2008-08-05,licahfox
135,"I rejected those answers; instead, I chose something differe...",339,104359,0.994,200.15,175.91,78.01,2008-08-03,florentine
136,The example of painting can teach us not only how to manage ...,237,143166,1.089,246.94,195.61,86.62,2008-08-06,joshua728
137,"Like painting, most software is intended for a human audienc...",201,32020,0.968,207.04,172.46,51.82,2008-08-08,arenasnow2
138,Few smart kids can spare the attention that popularity requi...,354,98101,0.959,209.52,174.07,74.71,2008-08-08,arenasnow2
139,Popularity is only partially about individual attractiveness...,256,114038,1.013,218.63,186.1,78.14,2008-08-08,arenasnow2
140,"Because they're at the bottom of the scale, nerds are a safe...",281,113008,0.995,207.87,177.53,77.01,2008-08-03,joshua728
141,Data is by definition easy to copy. And the Internet makes c...,362,97346,0.958,208.43,174.23,75.27,2008-08-03,arenasnow
142,It is greatly to America's advantage that it is a congenial ...,267,99804,0.936,200.07,169.97,71.7,2008-08-03,arenasnow
143,It doesn't mean much to be able to filter out most present-d...,223,112220,0.979,289.7,185.38,76.53,2008-08-03,
144,"He's got a two day head start on you, which is more than he ...",289,113028,0.986,282.73,180.84,77.46,2008-08-03,
145,"The only people for me are the mad ones, the ones who are ma...",371,114187,1.016,213.28,180.87,79.82,2008-08-03,quitless
146,"In 1966, Andy Dufresne escaped from Shawshank prison. All th...",300,86222,0.917,202.01,167.42,70.71,2008-07-28,arenasnow2
147,"The National Rifle Association says that, ""Guns don't kill p...",300,79798,0.885,190.14,164.56,68.65,2008-08-03,arenasnow2
148,Supermarket aisles are the perfect place to practice your gl...,318,99083,0.949,223.01,175.54,73.7,2008-08-03,arenasnow2
149,In order to face down the danger that is stalking us and mov...,378,101603,1.024,230.57,181.99,82.74,2008-08-03,joshua728
150,There are two places on Earth that serve as canaries in the ...,197,5615,0.82,189.77,159.65,49.19,2008-08-08,arenasnow
151,There are two places on Earth that serve as canaries in the ...,347,98416,0.967,291.99,174.66,74.82,2008-08-03,
152,"Warmer water increases the moisture content of storms, and w...",203,5478,0.84,228.13,168.53,53.7,2008-08-08,arenasnow
153,"Warmer water increases the moisture content of storms, and w...",308,106422,0.987,291.67,182.78,76.87,2008-07-28,
154,The problem we now face is that this thin layer of atmospher...,296,11012,0.883,222.82,145.4,41.86,2008-08-07,joshua728
155,The problem we now face is that this thin layer of atmospher...,393,89695,0.969,224.65,178.64,78.05,2008-08-03,joshua728
156,"Imagine a vast sheet of paper on which straight Lines, Trian...",396,82311,0.974,206.34,172.35,78.34,2008-08-08,quitless
157,The brain can be a tool. But when you can't stop thinking of...,244,15575,0.932,249.15,173.12,49.82,2008-08-08,joshua728
158,"The brain can be a tool. It can recall phone numbers, solve ...",406,102864,1.042,210.79,182.47,84.84,2008-08-03,arenasnow
159,"If you don't get what you want, you suffer; if you get what ...",217,15616,0.903,229.71,181.35,51.03,2008-08-08,arenasnow
160,"If you don't get what you want, you suffer; if you get what ...",379,116097,1.069,216.12,190.94,89.38,2008-08-03,arenasnow2
161,"Life is not suffering; it's just that you will suffer it, ra...",180,141135,1.063,224.93,191.07,83.77,2008-08-08,joshua728
162,"Disillusion is the greatest gift I can give you. But, becaus...",363,73534,0.899,204.1,165.72,72.74,2008-08-08,joshua728
163,"Hi, and welcome to the future. San Dimas, California, 2688. ...",295,91355,0.93,201.72,171.75,71.46,2008-08-03,arenasnow
164,"When I was your age, television was called books. And this i...",213,149313,1.085,215.79,192.07,85.96,2008-08-03,arenasnow
165,So my heart goes out to them. Figuratively. I would never ac...,200,14086,0.823,196.64,154.99,42.41,2008-08-08,arenasnow
166,So my heart goes out to them. Figuratively. I would never ac...,317,83543,0.935,202.5,168.6,74.95,2008-08-03,joshua728
167,Who has a safety deposit box full of money and six passports...,217,118097,0.988,219.8,179.24,76.2,2008-08-08,joshua728
168,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",204,91753,0.822,253.55,169.59,63.27,2008-08-08,
169,I thought maybe I'd run to the end of town. And when I got t...,209,14611,0.837,215.76,160.6,44.09,2008-08-08,joshua728
170,"That day, for no particular reason, I decided to go for a li...",334,102234,0.993,203.99,178.48,80.82,2008-08-03,performancecheck
171,"If we all go for the blonde and block each other, not a sing...",350,122889,1.076,220.18,192.52,89.48,2008-08-03,joshua728
172,I still see things that are not here. I just choose not to a...,225,120547,1.009,266.27,187.23,79.02,2008-08-03,
173,"Yes, the newspapers were right: snow was general all over Ir...",258,107480,0.963,199.3,166.65,74.58,2008-08-03,arenasnow
174,I drew the blankets over my head and tried to think of Chris...,276,113025,0.996,215.19,183.11,78.03,2008-08-03,arenasnow
175,I drew the blankets over my head and tried to think of Chris...,170,5965,0.847,230.46,164.94,54.16,2008-08-09,joshua728
176,"It was a marvelous night, the sort of night one only experie...",250,132078,1.063,232.9,190.62,84.68,2008-08-03,chakk
177,"It was a marvelous night, the sort of night one only experie...",136,6920,0.888,203.06,175.4,61.88,2008-08-08,arenasnow
178,I suddenly had the impression that I had been left all alone...,273,125661,1.037,215.34,186.89,82.07,2008-08-03,mythicalrocket
179,I had the impression of being abandoned by everyone when the...,483,79972,1.001,210.97,176.11,85.69,2008-08-03,slekap
180,I had the impression of being abandoned by everyone when the...,348,23967,0.93,211.67,145.84,50.18,2008-08-08,joshua728
181,"I'd been walking for hours and, as usual, I'd lost track of ...",392,76329,0.97,206.21,173.88,83.36,2008-08-03,arenasnow2
182,"I'd been walking for hours and, as usual, I'd lost track of ...",266,25625,0.904,230.04,143.59,47.73,2008-07-28,joshua728
183,"The result has been the emergence of what some call the ""win...",351,76139,0.912,199.07,171.48,73.59,2008-08-19,inconsistency
184,"Over the past decade, we've seen strong economic growth but ...",209,10656,0.814,221.11,140.18,38.62,2008-08-19,joshua728
185,Indonesia is a nation of islands - more than seventeen thous...,323,90537,0.93,209.14,168.2,71.05,2008-08-19,joshua728
186,Indonesia is a nation of islands - more than seventeen thous...,135,6008,0.823,191.15,163.19,51.83,2008-08-19,arenasnow
187,"Combat for a naval aviator is fought in short, violent burst...",303,116218,1.029,224.76,189.94,81.29,2008-08-19,slekap
188,"Some pilots like the excitement of our missions, knowing tha...",276,117840,1.021,225.29,186.15,80.27,2008-08-19,megaextremist
189,"To evaluate an option from the other side's point of view, c...",261,115917,1.028,247.71,192.74,80.77,2008-08-19,joshua728
190,"You have a class of young strong men and women, and they wan...",265,139359,1.11,277.56,204.76,89.19,2008-08-19,
191,Advertising has these people chasing cars and clothes they d...,169,6301,0.886,249.88,181.39,61.76,2008-08-19,joshua728
192,"Today, you people are no longer maggots. Today, you are Mari...",310,103098,1.007,216.39,184.66,82.26,2008-08-19,joshua728
193,At the time when Britain faced a plunge into chaos and darkn...,362,91373,0.983,204.53,176.78,78.72,2008-08-19,arenasnow
194,Chance and chance alone has a message for us. Everything tha...,273,118659,1.012,217.73,180.63,79.35,2008-08-19,chakk
195,Chance and chance alone has a message for us. Everything tha...,145,6348,0.842,234.38,169.65,56.61,2008-08-19,joshua728
196,I've always wondered about this coat business. When I'm in a...,264,116033,0.995,211.62,178.39,78.8,2008-08-19,slekap
197,The only preventive thing I do is wash clothes after buying ...,276,115697,1.047,232.78,183.29,85.82,2008-08-19,
198,The only message I got was from the company that holds my st...,392,74907,0.97,200.85,175.11,82.48,2008-08-19,arenasnow
199,The only message I got was from the company that holds my st...,269,24957,0.914,222.62,143.03,49.21,2008-08-19,joshua728
200,In order to become an elf I filled out ten pages' worth of f...,292,102670,0.97,231.09,177.29,75.06,2008-08-19,iggy6969
201,In order to become an elf I filled out ten pages' worth of f...,148,5860,0.81,213.95,162.29,52.31,2008-08-19,escrow
202,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,367,78188,0.945,194.82,164.96,76.16,2008-08-19,arenasnow2
203,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,193,13778,0.824,221.1,152.33,41.75,2008-08-19,joshua728
204,Any finite number divided by infinity is as near to nothing ...,341,104405,1.044,216.39,178.98,83.77,2008-08-19,joshua728
205,A glooming peace this morning with it brings. The sun for so...,247,141690,1.068,254.66,194.33,83.9,2008-09-01,
206,"Two households, both alike in dignity (in fair Verona, where...",346,82953,0.897,205.4,172.91,70.31,2008-09-01,arenasnow
207,"Tis but thy name that is my enemy. Thou art thyself, though ...",284,98796,0.942,211.14,174.88,73.86,2008-09-01,quitless
208,"When I really worry about something, I don't just fool aroun...",214,135142,1.045,220.75,186.46,83.37,2008-09-01,quitless
209,"If you really want to hear about it, the first thing you'll ...",314,126586,1.06,226.95,189.55,85.0,2008-09-01,arenasnow2
210,"A lot of people, especially this one psychoanalyst guy they ...",360,85915,0.94,217.39,175.44,76.63,2008-09-01,quitless
211,"But, pray how could that which I spoke so many years ago, an...",283,112894,1.008,219.89,182.18,78.91,2008-09-01,slekap
212,"Double, double, toil and trouble; fire burn, and cauldron bu...",317,81023,0.923,198.17,172.98,75.22,2008-09-01,joshua728
213,We've known each other for many years but this is the first ...,341,111597,1.044,222.65,188.45,86.4,2008-09-30,slekap
214,We've known each other for many years but this is the first ...,246,11704,0.934,254.77,162.21,44.5,2008-09-30,joshua728
215,"You found paradise in America. You had a good trade, made a ...",337,89672,0.988,218.59,182.63,80.22,2008-09-30,joshua728
216,"Now you come to me and you say, ""Don Corleone, give me justi...",167,14326,0.818,197.87,166.56,44.25,2008-09-30,flaneur
217,And if by chance an honest man like yourself should make ene...,130,6755,0.882,242.05,190.0,64.5,2008-10-01,deroche1
218,I said that I would see you because I had heard that you wer...,375,107479,1.029,220.84,188.72,84.64,2008-09-30,joshua728
219,"A long time ago, I was in Burma, my friends and I were worki...",469,74647,0.99,208.28,178.59,84.51,2008-09-30,joshua728
220,Caravans were being raided in a forest north of Rangoon by a...,278,25697,0.936,216.64,149.01,48.85,2008-09-30,joshua728
221,"Let me get this straight. You think that your client, one of...",246,112852,1.005,220.88,182.75,77.99,2008-09-30,joshua728
222,Do I really look like a guy with a plan? You know what I am?...,377,79738,0.997,227.29,179.65,86.15,2008-09-30,joshua728
223,Do I really look like a guy with a plan? You know what I am?...,268,29258,0.907,203.58,162.79,49.13,2008-09-30,arenasnow
224,It's the possibility of having a dream come true that makes ...,249,124264,1.041,226.38,186.96,82.24,2008-09-30,joshua728
225,It's the possibility of having a dream come true that makes ...,158,6410,0.892,225.42,190.17,63.71,2008-10-01,arenasnow
226,He had spent enormous amounts of time at the great libraries...,317,89758,0.952,282.64,175.05,76.33,2008-09-30,
227,"Many years ago, a famous Arabian alchemist had visited Europ...",145,5598,0.748,194.59,154.58,46.64,2008-10-01,chakk
228,He canceled all his commitments and pulled together the most...,264,104800,0.975,219.09,174.25,75.05,2008-09-30,joshua728
229,The most precious treasures we have in life are the images w...,239,135289,1.071,238.25,202.57,85.27,2008-09-30,
230,Language is one of the keys to being human. It allows us to ...,267,122145,1.037,215.98,185.65,80.45,2008-09-30,arenasnow
231,"In short order, Carter then proceeded to kill any chance he ...",346,80773,0.931,192.94,165.98,74.01,2008-09-30,arenasnow2
232,"Prior to the 1970's, because the United States had long been...",427,51685,0.881,196.78,162.32,75.39,2008-09-30,joshua728
233,"In 1972, domestic oil production peaked and then began its i...",265,22601,0.851,202.75,140.28,44.99,2008-09-30,chakk
234,For it is not enough to have a good mind; the main thing is ...,318,121696,1.049,270.39,186.02,83.11,2008-09-30,
235,For it is not enough to have a good mind; the main thing is ...,163,6457,0.895,220.77,172.05,59.73,2008-10-01,joshua728
236,Those who proceed only very slowly can make much greater pro...,150,6262,0.874,238.28,168.73,58.87,2008-10-01,joshua728
237,All that year the animals worked like slaves. But they were ...,243,11517,0.93,219.1,150.29,43.82,2008-09-30,joshua728
238,All that year the animals worked like slaves. But they were ...,294,111282,1.049,225.06,181.96,85.48,2008-09-30,joshua728
239,There is a theory which states that if anybody ever discover...,276,108564,1.037,224.8,180.66,84.07,2008-09-30,joshua728
240,There is a theory which states that if anybody ever discover...,207,11402,0.895,218.59,148.74,41.99,2008-10-01,joshua728
241,"For centuries, the battle of morality was fought between tho...",247,140866,1.123,270.24,209.49,91.21,2008-09-30,joshua728
242,"Whether you're a student, secretary, office administrator, m...",399,60514,0.912,203.15,167.36,78.22,2008-09-30,arenasnow
